timestamp, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2025/02/07 18:49:01.206, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:49:06.209, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:49:11.210, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:49:16.210, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:49:21.211, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:49:26.212, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:49:31.212, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:49:36.213, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:49:41.214, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:49:46.214, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:49:51.215, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:49:56.216, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:50:01.216, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:50:06.217, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:50:11.218, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:50:16.218, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:50:21.219, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:50:26.220, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:50:31.220, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:50:36.221, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:50:41.222, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:50:46.222, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:50:51.223, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:50:56.224, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:51:01.224, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:51:06.225, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:51:11.226, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:51:16.226, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:51:21.227, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:51:26.228, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:51:31.228, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:51:36.229, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:51:41.230, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:51:46.230, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:51:51.231, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:51:56.232, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:52:01.232, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:52:06.233, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:52:11.234, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:52:16.234, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
